,English,Japanese,good_trans,original_language
26605,i hit you like what you sayin',私はあなたが言うことのようにあなたを殴りました,0,0
21939,its eye's right there.,その目はそこにあります。,0,0
25994,"i mean, anywhere at all, that's what's so incredibly great about helicopters.",つまり、どこにいても、それがヘリコプターの素晴らしいところです。,0,0
35980,"in order for me to exist in this world, i need him to keep wishing.",私がこの世界に存在するためには、彼に願い続けてもらう必要があります。,0,0
48255,Eventually they get into each other's bodies. What happens to him then?,やがて お互いの体に入り込む。 すると どうなるか?,0,1
14060,"hasegawasan, i caught a nice shikao suga.",長谷川さん いいスガシカオが 手に入った。,1,1
54846,What?,何だよ?,0,1
32393,"what do you do, konachan?",コナちゃん、どうする？,0,0
33348,"and supplies that are produced all over the world, literally",文字通り世界中で生産されている物資,0,0
49376,Here it is,さあ ここだよ,0,1
3327,"and if you didn't speak korean, that's what you were watching.",韓国語が分からなければ 他に選択肢はありませんから,1,1
1316,what are we going to do? it won't even be funny if we get lost too!,どうすんだよ 俺達も遭難したら シャレになんねえぞ!,1,1
58285,Inspected 37 enthusiastic people,熱愛中の37人を検査しました,0,1
8882,[ chuckles ] i couldn't agree more.,確かに,1,1
3092,you mean the harem that just figured out they're a harem?,ハーレムだって考えてるのね? ハーレムだわね ええそういうこと,1,1
5663,"smarter than us, certainly.",少なくとも俺達より,1,1
35180,"and you haven't gotten me that, have you?",そして、あなたは私にそれを取得していませんね？,0,0
26815,it should be all right as long as someone on the staff is supervising.,スタッフの誰かが監督している限り、それは大丈夫なはずです。,0,0
45270,that if an adult woman is doing now?,《もしや 今のが 大人の女のすることだと?》,0,1
47313,Consider escaping to Adminville,アドミンビルへの 脱出も考慮しよう,0,1
5960,since 1990,1990年から 私たちは,1,1
22617,understand each other's feelings,お互いの気持ちを理解する,0,0
47816,Shopping for Allison?,アリソンへのお買い物?,0,1
46257,The true purpose of the visitor is known when they reveal themselves,ビジターの真の目的は 奴等が正体を現す時に分かります,0,1
58395,What the hell is that! Choi Chuni,なんの話だよ!チェ・チュニって一体・・・,0,1
30824,bar the door.,ドアを閉めなさい。,0,0
24588,can you tell us about mikuriya?,みくりやについて教えてください。,0,0
32981,there are still those in the seven kingdoms who call me usurper.,私を皇位簒と呼ぶ7つの王国の人々がまだいます。,0,0
8175,use your core!,あなたのコアを使用してください!,1,1
40819,I thought I needed it,必要があると思い立ちました,0,1
54290,So is he the perpetrator?,つまり彼は加害者の方か?,0,1
28917,no way!,ありえない！,0,0
17695,thank you. i spent a lot of money on this shit.,どうも 大金をはたいたんだ,1,1
37260,which refers not only to the rats,これはラットだけではありません,0,0
52294,It became a very useful tool for political struggle.,政治闘争のとても便利な道具になったのです,0,1
5465,try it some time.,言うんだ,1,1
47428,Please call me that flower.,あの 花って呼んで下さい。,0,1
52691,The situation of the murder is all consistent with other cases,殺害の状況は すべて他の事件と一致してる,0,1
19658,where is this place?,ここはどこ?,1,1
39581,saying such things as,そのようなことを言う,0,0
46351,I was there too,私もそこにいたの,0,1
17013,"ah, i wanted to eat this.",これ 食べたかったんだ。,1,1
24849,excuse me?,すみません？,0,0
34120,that's the only thing i remember.,それが私が覚えている唯一のことです。,0,0
49496,But I don't think it's right,でも やっぱりそれが正しいとは思えません,0,1
26056,the handling of copyright directly impacts your life.,著作権の取り扱いはあなたの人生に直接影響を与えます。,0,0
36465,"oh, my did you finish your errands?",ああ、私のあなたはあなたの用事を終えましたか？,0,0
24984,"the employees who are proud to be working, why don't you recognize them?!",仕事に誇りを持っている社員の皆さん、気づいてみませんか？,0,0
21247,the super 8 camera that my grandfather got me sitting in that room,祖父が私をその部屋に座らせたスーパー8カメラ,0,0
32932,y'all happy?,みんな幸せ？,0,0
687,"and i said, well, i've taught graduate",私は「教えていますよ,1,1
44431,What is the purpose of killing Nadia?,ナディアを殺す目的は?,0,1
8415,sprinting down the pitch,華麗にゴールを決める,1,1
4673,or being a fake real:,fake realは,1,1
42450,"She said, Yes, but I'm here for this kid.",彼女は「ええ でもこの子のために私はここにいるの」と言いました,0,1
51811,Is it a trickster?,トリックスターをか?,0,1
56845,Looking back at what you have been given,自らが授かったものを 見つめ直すこと,0,1
54743,The suit is also made of energy,そのスーツも エネルギーで出来ている,0,1
38682,"that our father had two daughters. that he worked diligently, and",私たちの父には2人の娘がいました。彼が勤勉に働いたこと、そして,0,0
29798,there are.,がある。,0,0
18881,"i mean, not like that.",あんな大きいのはな,1,1
48962,Will concentrate on test preparation only,テスト対策のみに専念するでしょう,0,1
23509,al worried about thinking that we will quit shinchan because of us.,私たちのせいでしんちゃんを辞めるのではないかと心配していました。,0,0
37048,color bird. what does that mean?,色の鳥。どういう意味ですか？,0,0
1986,"the bad thing about you, is that you are all selfish!",あなたの悪いところは 利己的であるというところです,1,1
14302,"so, here you can see her moving her eyes around, moving her mouth around.",彼女が目や口を動かしている写真が並んでいます,1,1
9141,this is it. the beach house.,・ここだよ ここ ビーチハウス,1,1
42149,"Hey, are you hungry?",ねえ おなか すかない?,0,1
22100,we'll find them all soon enough.,それらはすべてすぐに見つかります。,0,0
14816,why do you think i rushed this contract?,何でこの契約を急いだと思う?,1,1
24970,"but why? well, transparency is scary",しかし、なぜ？まあ、透明度は怖いです,0,0
44618,There is a place for defecation during estrus.,発情期には排便の場所があるのです,0,1
32785,i actually have a date.,私は実際に日付を持っています。,0,0
8126,for abducting and molesting an eight year old boy on stanton.,誘拐やわいせつ行為で スタントンの8歳の少年,1,1
44379,This is private land,ここは私有地だが,0,1
5389,"conan, you have some too!",コナン君 あれ!,1,1
26674,we help build a resistance. we recruit.,私たちは抵抗を構築するのに役立ちます。募集します。,0,0
36289,"because whatever they have done to that guy over there, has removed any shred of humanity.",彼らが向こうのあの男にしたことは何でも、人類の断片を取り除いたからです。,0,0
42930,When this card is activated,このカードが発動したとき,0,1
7128,and then kill us anyway.,そしてオレたちも殺すさ,1,1
58632,It's not for the country that my son gave his life,息子が命を捧げたのは国の為では無い,0,1
23634,three parts mebendazole.,3つの部分のメベンダゾール。,0,0
29080,"you guys, go ahead. i'm gonna lay down some cover fire.",皆さん、どうぞ。カバーファイアを置くつもりです。,0,0
2922,the deep ocean is also gaining heat at a smaller rate,深海部では上部よりは緩やかに上昇していました,1,1
52330,Captain Cordero Ritter and Morgan,コルデロ大尉 リッターとモーガンだ,0,1
39980,"how's the shoulder, man?",肩はどう？,0,0
6542,life is not always as it seems.,人生とは、常に驚くべきものー,1,1
9954,a man is dead because of that.,その為に一人死んだ,1,1
25132,every last one?,最後の1つ？,0,0
55887,It's such an action that seems frustrating.,イライラしているよう見える そんな行動です,0,1
7800,no holding back.,ためらわない,1,1
7167,sinners!,罪人よ!,1,1
8276,"all these years, crowley has been riding me about obeying the rules and she's the one breaking protocol.",悪役じゃない 今は - 分かってる! まだ ムカつくわ 助けるなんて,1,1
20027,"alright, everyone ready? the words are wrong again.",よし、みんな準備はいい？言葉はまた間違っています。,0,0
2157,jirousan. can you help me look for niichan for the time being?,次郎さん すぐさ 兄ちゃんのこと探してもらえませんか,1,1
10170,it's true yebul is very jealous and unstable,それは本当よ エーブルは とても嫉妬深くて不安定で,1,1
4939,some profanity,使われているのも見受けられます,1,1
50817,Exaggerated,大げさだな,0,1
17847,wwhatever this is.,それが何であれ,1,1
59015,"He said, That was exactly what he wanted.",こう言ったんです それは正に彼が望んでた事だったと,0,1
59950,The goal is the Supreme Court,目標は最高裁判所よ,0,1
3277,but there's a way you can save me,でも お姉ちゃんなら 僕を助けることができる,1,1
3678,goku has won!,〈地球には平和が戻った。,1,1
56492,Warn Eli,イーライに警告を,0,1
37789,"why, your majesty? your countrymen are in danger",なぜ、あなたの威厳？あなたの同胞は危険にさらされています,0,0
11119,oh! a commercial!,CMですね それでは森田さんも,1,1
23335,is the ramen cooled?,ラーメンは冷やされていますか？,0,0
